content,sentiment
I say wonders will never cease I have just written a receipt  and I have put it in her envelope.,0
"The ad-man opposite had been casting meaningful glances at her all evening, and the likeliest explanation seemed to be that she and Roger were doing a number together and I'd inadvertently got caught in the crossfire.",0
"They wondered why it was that the storm had left them in this stifling, steamy condition when storms were supposed to clear the air.",0
"She was tempted to call his bluff, hardly able to believe he'd carry out his threat.",0
"The lady with the upright hair who Gloria said had a screw loose, clattered into the bedroom holding out a steaming jug on a tray.",0
- doesn`t have a phone.,0
 fucc man I wana be home,2
- Gig was awesome! Am exahausted and so dont want to revise  Boo Hoo!,1
- God i'm up early. Hayley still asleep but today is party day so i'm getting stuff ready.  x,1
" If abortion is not wrong, then nothing is wrong.   Powerful words from Blessed Mother Teresa.    #SemST",0
 i'm just having one of those nights where you feel hopeless.,2
- Its only bley friday !!! What will the weekend bring us this time  BTW - Cars in for MOT - Hope it will pass 1st time.,1
- It's time for Kathleen to go to bed... waaaaay past time. Don't expect to hear from me before noon. lol  Have a BLESSED morning.,1
- me and my mom's cars were broken into.  I feel violated.,2
 my foot is killing me. off to docs later so hope they can sort me out!,3
 sick and sad.  Bed. waking up. getting ready then HOPEFULLY going to see my older brother tomorrow in the fucking hospital !,2
- stillll listening to 'paranoid'  now starting civics homework+ new JONAS episode !,0
 there goes my A for sociology. Sigh ... Hate myself,3
"	-- haired man strides close and watches as the Major flinches away from him, the reaction draws a growl from his throat.  -- (@DocHQuinzel)	anger	0.322",3
"	 I can't guess if you holding a grudge against the best'	anger	0.425",3
"	-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco	anger	NONE",3
"	#Anger or #wrath is an intense emotional response.	anger	0.562",3
"	#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax	anger	0.312",3
"	#burning the last of @Yan	anger	0.356",3
"	#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown	anger	0.521",3
"	#EpiPen: when public outrage occurs, expand #PAP Patient Assistance Progrm, coupons,rebates .@GOPoversight @OversightDems on #Mylan #Epipen	anger	0.500",3
"	#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily 	anger	0.292",3
"	#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily #rage	anger	0.542",3
"	#Forgiveness¬ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.	anger	NONE",3
"	#Forgiveness¬ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .	anger	NONE",3
"	#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget	anger	0.521",3
"	#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge	anger	0.500",3
"	#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.	anger	0.543",3
"	#oow16 #sting decent new song	anger	NONE",3
"	#Scorpio always seek revenge!	anger	NONE",3
"	#Taurus will react angrily when she can't take being provoked any longer.	anger	0.438",3
"	#welfarereform should not be a 'model' for #snap.	anger	0.458",3
"	#welfarereform should not be a 'model' for .	anger	0.417",3
"	#Zumba, #PiYo and #HIIT sessions. Sweaty, burning but sooooooo good! #missedoutonsummerbikinibodybutwintersunbodywilldo	anger	0.333",3
"	(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.	anger	NONE",3
"	... flat party and I instantly get bollocked about it. 	anger	0.542",3
"	... flat party and I instantly get bollocked about it. #fuming	anger	0.690",3
"	..... wakes up and says 'have you tried changing her nappy?' üò°üëäüèº !!!!	anger	0.667",3
"	..... wakes up and says 'have you tried changing her nappy?' üò°üëäüèº #rage!!!!	anger	0.688",3
"	.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine.  	anger	0.517",3
"	.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming	anger	0.792",3
"	.@LEAFYSZERKER @markiplier is that an insult? Sounds like a job well done. it's red so it's done the job it was suppose to do #justsaying	anger	0.521",3
"	.@RepDelBene: 'Today's proceedings and the entire process is an insult to our constituents.'	anger	0.593",3
"	@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs	anger	NONE",3
"	@__NETFLIXNCHILL I fuck with madden way harder	anger	NONE",3
"	@_Inferno217_ @PaladinsGame ummm that dragons fury though..	anger	0.271",3
"	@1VoiceMatters @MichaelTPremo just got wind of #MenForChoice and it doesn't infuriate me. Just makes me sad for the generation.	anger	0.438",3
"	@a_mxe7 hah don't speak to me or my cousin like that, mind a had the displeasure of seeing u bare faced on eh train, no a pretty sight mate	anger	0.479",3
"	@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone	anger	0.458",3
"	@AgentTinsley I believe that's what you call the fury of the righteous.	anger	0.500",3
"	@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking. #Hillary #divide  #chaos	anger	0.583",3
"	@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos	anger	NONE",3
"	@Alanafergusson snap meee	anger	0.521",3
"	@Alex_Philip2648 it's a step up from boiling broccoli tbh	anger	NONE",3
"	@alicehouston18 sorry I'm just angry my drone flew away	anger	0.583",3
"	@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows	anger	0.562",3
"	@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. 	anger	0.417",3
"	@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. #bitter	anger	0.583",3
"	@ArcadianLuthier -- taking out his feelings on Kei unfairly. His lips form a frown as he tries to walk away.	anger	0.521",3
"	@ArcticFantasy I would have almost took offense to this if I actually snapped you	anger	NONE",3
"	@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.	anger	0.854",3
"	@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims.	anger	0.542",3
"	@arppaul @chetanlfc @mannkakhiladi @dey_spandan @umeroffcial  Comparing Akshay Sir with this zandu balm is an insult to Akshay Sir.	anger	0.500",3
