sentence,sentiment
@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,2
Layin n bed with a headache  ughhhh...waitin on your call...,0
Funeral ceremony...gloomy friday...,0
wants to hang out with friends SOON!,3
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",2
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,0
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",0
Hmmm. http://www.djhero.com/ is down,0
@charviray Charlene my love. I miss you,0
@kelcouch I'm sorry  at least it's Friday?,0
cant fall asleep,2
Choked on her retainers,0
Ugh! I have to beat this stupid song to get to the next  rude!,0
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,0
Got the news,2
The storm is here and the electricity is gone,0
@annarosekerr agreed,3
So sleepy again and it's not even that late. I fail once again.,0
@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,0
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,0
@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,0
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",3
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,2
I ate Something I don't know what it is... Why do I keep Telling things about food,0
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,0
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,0
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",0
Damm servers still down  i need to hit 80 before all the koxpers pass me,0
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,0
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,0
It is so annoying when she starts typing on her computer in the middle of the night!,1
@cynthia_123 i cant sleep,2
I missed the bl***y bus!!!!!!!!,2
feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,2
